# Age_Ma	Sea_level_m
47.000000	209.618588
47.100000	211.733949
47.200000	213.117046
47.300000	213.386840
47.400000	213.656634
47.500000	213.926429
47.600000	214.196223
47.700000	212.291412
47.800000	209.735079
47.900000	206.247775
48.000000	175.978091
48.100000	165.205274
48.200000	161.488841
48.300000	161.057607
48.400000	160.626374
48.500000	163.911109
48.600000	168.265313
48.700000	183.636923
48.800000	185.020674
48.900000	186.020908
49.000000	185.661398
49.100000	183.309440
49.200000	170.926811
49.300000	138.421286
49.400000	105.915762
49.500000	79.117554
49.600000	74.637100
49.700000	74.036820
49.800000	80.968645
49.900000	119.277629
50.000000	174.556104
50.100000	196.657561
50.200000	199.613957
50.300000	197.087820
50.400000	197.912857
50.500000	201.678058
50.600000	205.957502
50.700000	204.138639
50.800000	203.555502
50.900000	205.481266
51.000000	207.451568
51.100000	210.490766
51.200000	211.397868
51.300000	211.895909
51.400000	209.327500
51.500000	194.681191
51.600000	180.435401
51.700000	176.909957
51.800000	178.250976
51.900000	179.591995
52.000000	187.537206
52.100000	199.639092
52.200000	212.310104
52.300000	216.887255
52.400000	211.998456
52.500000	206.580912
52.600000	212.251120
52.700000	216.246320
52.800000	220.106190
52.900000	218.193736
53.000000	210.915556
53.100000	209.819445
53.200000	210.843752
53.300000	211.868059
53.400000	212.274744
53.500000	212.597967
53.600000	212.921190
53.700000	213.244413
53.800000	213.567636
53.900000	213.890859
54.000000	213.648991
54.100000	212.609983
54.200000	211.570974
54.300000	210.531965
54.400000	201.321114
54.500000	180.399771
54.600000	160.369910
54.700000	157.355162
54.800000	154.340413
54.900000	155.619098
55.000000	156.912663
55.100000	168.707567
55.200000	194.423031
55.300000	191.539436
55.400000	161.511241
55.500000	138.455739
55.600000	130.864009
55.700000	149.588565
55.800000	177.214930
55.900000	117.616837
56.000000	176.626930
56.100000	181.346744
56.200000	185.277157
56.300000	187.692180
56.400000	190.107204
56.500000	191.842023
56.600000	192.395044
56.700000	192.948064
56.800000	193.376528
56.900000	193.248113
57.000000	193.119699
57.100000	192.991284
57.200000	191.572161
57.300000	190.140000
57.400000	186.496742
57.500000	182.853483
57.600000	179.210225
57.700000	172.500478
57.800000	161.887928
57.900000	151.275378
58.000000	140.662829
58.100000	130.050279
58.200000	119.437729
58.300000	108.825179
58.400000	98.212629
58.500000	87.600080
58.600000	76.987530
58.700000	62.988000
58.800000	59.301687
58.900000	57.325783
59.000000	96.695136
59.100000	195.561322
59.200000	197.081873
59.300000	186.332144
59.400000	156.225614
59.500000	132.835824
59.600000	126.000141
59.700000	127.411975
59.800000	138.103967
59.900000	156.982605
60.000000	174.384150
60.100000	185.338802
60.200000	190.997888
60.300000	193.133215
60.400000	192.421556
60.500000	189.313654
60.600000	183.611766
60.700000	174.221822
60.800000	164.066698
60.900000	157.943598
61.000000	155.985735
61.100000	156.750894
61.200000	161.484839
61.300000	172.132451
61.400000	181.168373
61.500000	185.305025
61.600000	186.568805
61.700000	185.710009
61.800000	181.480536
61.900000	171.738317
62.000000	156.421699
62.100000	140.235794
62.200000	131.188293
62.300000	131.416611
62.400000	148.904045
62.500000	169.117972
62.600000	182.766990
62.700000	187.565518
