age,ridge_length,ridge_vel_mean,ridge_vel_std,ridge_surface_area,subduction_length,subduction_vel_mean,subduction_vel_std,subduction_surface_area,age_mean,age_std,accretion_mean,accretion_std,slab_dip_mean,slab_dip_std,min_continental_arc_length,mean_continental_arc_length,max_continental_arc_length,min_carb_plat_continental_arc_length,mean_carb_plat_continental_arc_length,max_carb_plat_continental_arc_length,min_combined_arc_length,mean_combined_arc_length,max_combined_arc_length,global_age_mean,global_age_std
59,84286.70726513467,5.238751718726888,4.48150963444003,4.491848086070116,77294.49704400313,4.868453103895024,4.783538450865069,4.683453447073968,50.36032902612456,36.926216671109636,13.195932626177997,28.138461475676873,30.463916966608632,12.028287785420993,41866.55698114197,46946.826752691035,49259.903330708774,12417.452800501853,16091.791338625717,19925.817531371013,12417.452800501853,16091.791338625717,19925.817531371013,64.52934265136719,67.58244323730469
58,84286.70726513467,5.238751718726888,4.48150963444003,4.444658011147417,77364.62737349824,4.868453103895024,4.783538450865069,4.683453447073968,51.510890778728495,37.38806587190596,13.195932626177997,28.138461475676873,30.463916966608632,12.028287785420993,41902.10200193349,47022.57205894372,49758.23178680094,12595.885357612566,16096.20487361911,19925.817531371013,12595.885357612566,16096.20487361911,19925.817531371013,64.9256362915039,67.69584655761719
57,83181.67742203,5.238751718726888,4.462932552215241,4.421868128509626,77476.37852792782,4.868453103895024,4.783538450865069,4.678827352256654,52.91200585813959,39.309899812499026,13.195932626177997,28.138461475676873,30.463916966608632,12.030687692054682,41922.759896135896,47022.57205894372,49758.23178680094,12595.885357612566,16138.667847846917,19925.817531371013,12595.885357612566,16138.667847846917,19925.817531371013,65.44801330566406,67.70834350585938
56,82853.90656550876,5.238751718726888,4.453467592056728,4.390279100851165,78184.32788681945,4.8150698520304065,4.717623140544626,4.541010207166746,53.11342418707554,40.1307840871404,13.195932626177997,27.75072435614485,30.463916966608632,12.030687692054682,41922.759896135896,47022.57205894372,49758.23178680094,12854.73542116834,16142.591709840532,19925.817531371013,12854.73542116834,16142.591709840532,19925.817531371013,65.60713958740234,67.89669799804688
55,79103.62893949453,5.768772948792933,4.44183112915699,4.376373188200278,78184.32788681945,4.8150698520304065,4.611183801189673,4.516485654090708,53.11342418707554,41.41868368053893,13.195932626177997,27.124610595233367,30.463916966608632,12.028287785420993,43544.42117997918,47094.12460665156,49758.23178680094,12969.908884099748,16175.491997542193,19257.20819662416,12969.908884099748,16175.491997542193,19257.20819662416,65.8441162109375,67.90821838378906
54,77155.46862235549,5.768772948792933,4.380545638876452,4.376373188200278,78184.32788681945,4.872542912809323,4.611183801189673,4.497823430048863,53.598769770505235,41.880416974270595,11.676059693938788,27.124610595233367,30.463916966608632,12.030687692054682,43698.21252652615,47094.12460665156,49758.23178680094,12969.908884099748,16175.491997542193,18848.63364387961,12969.908884099748,16175.491997542193,18848.63364387961,66.0916748046875,68.23363494873047
53,77148.88564558761,5.768772948792933,4.380545638876452,4.376373188200278,78184.32788681945,4.890618744908578,4.611183801189673,4.497823430048863,53.598769770505235,41.880416974270595,11.337982865827511,27.124610595233367,31.119934240342484,12.041223618560586,44138.06912946646,47094.12460665156,49758.23178680094,13380.70927211522,16363.09898526788,18703.10401258682,13380.70927211522,16363.09898526788,18703.10401258682,66.0916748046875,68.23363494873047
52,77148.88564558761,5.768772948792933,4.380545638876452,4.376373188200278,78184.32788681945,4.93419313741965,4.611183801189673,4.497823430048863,53.91476164127276,41.880416974270595,11.231654441714245,27.124610595233367,31.13804630881506,12.041223618560586,44195.93413938798,47094.12460665156,49685.95541563836,13380.70927211522,16175.491997542193,18685.71215777957,13380.70927211522,16175.491997542193,18685.71215777957,66.0916748046875,68.23363494873047
51,75987.79541524652,5.768772948792933,4.3396886250005435,4.376373188200278,77789.27647721817,4.93419313741965,4.611183801189673,4.497823430048863,53.987357388217085,43.503564003828494,11.231654441714245,27.124610595233367,31.13804630881506,12.041223618560586,44195.93413938798,47094.12460665156,49685.95541563836,13380.70927211522,16142.591709840532,18450.23070677095,13380.70927211522,16142.591709840532,18450.23070677095,66.36064910888672,68.23363494873047
50,75916.74013556758,5.768772948792933,4.3396886250005435,4.376373188200278,77789.27647721817,4.935848919697537,4.611183801189673,4.497823430048863,54.02633724465381,43.52170956790743,10.975334485766767,27.124610595233367,31.357612782365248,12.041223618560586,44195.93413938798,47094.12460665156,49685.95541563836,12969.908884099748,16138.667847846917,18434.102745675053,12969.908884099748,16138.667847846917,18434.102745675053,66.40263366699219,68.23363494873047
