,crust,crust,crust,lithosphere,lithosphere,lithosphere,sediments,sediments,sediments,serpentinite,serpentinite,serpentinite,organic_sediments,organic_sediments,organic_sediments,total,total,total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max
time,,,,,,,,,,,,,,,,,,
56,1867770780.1611676,2215629452.1537514,2643706117.734537,755781344.766373,1366177582.3656483,2082141788.5004416,3507899771.2769423,3507899771.2769423,3507899771.2769423,135508052.09706825,152864575.6134587,249657580.08318213,0.0,249751136.99566936,547841203.7324361,6266959948.301551,7492322518.40547,9031246461.32754
57,1866469561.6134005,2214283378.114514,2642276396.3386636,757238463.1914608,1366075032.734692,2081674523.2701368,3453148854.233543,3453148854.233543,3453148854.233543,134481755.76413822,151632534.6847657,248011572.85249323,0.0,248610714.05830216,545339630.8375659,6211338634.802543,7433750513.825816,8970450977.532404
58,1863297318.7082436,2209997278.1158047,2636650656.9992824,758239788.2705548,1365647797.2894664,2078416010.445963,3403852330.224776,3403852330.224776,3403852330.224776,133777254.14346433,150763554.46754056,246787593.9649536,0.0,246461818.90093905,540625925.331092,6159166691.347038,7376722778.998527,8906332516.966066
59,1857241688.9793406,2202462986.838016,2627292101.6505404,759461028.6420267,1365013661.7624793,2073058840.6796298,3337032758.7709103,3337032758.7709103,3337032758.7709103,132353208.89783162,149210333.3713792,244932008.7701794,0.0,244229431.46934572,535729075.4811454,6086088685.29011,7297949172.212131,8818044785.352406
60,1850805901.0494595,2194498389.918977,2617446008.7270136,760019686.0523183,1364890922.8237634,2072967962.6026983,3252077188.194526,3252077188.194526,3252077188.194526,131428569.89930893,148230963.44382924,243446111.24878988,0.0,241871934.50512037,530557791.81768334,5994331345.195614,7201569398.886216,8716495062.590712
61,1842264829.543867,2184076702.6252704,2604746076.4688244,761023246.0194697,1364813779.9765973,2072359855.4169922,3193663762.3425837,3193663762.3425837,3193663762.3425837,131191245.74567717,147934852.73011082,242846534.50825143,0.0,240328041.94156286,527171188.77504116,5928143083.651597,7130817139.616125,8640787417.511692
62,1842109843.2083898,2183539568.910403,2603784630.4543605,762413478.8047667,1364138843.2267957,2069219852.8883824,3122352718.881406,3122352718.881406,3122352718.881406,130361547.00669935,147001807.22710553,241622258.39636046,0.0,239668488.87258023,525724427.2043694,5857237587.901261,7056701427.11829,8562703887.824879
63,1838173593.6573334,2178447314.2468033,2597282746.5523353,762718905.1118162,1364091132.4082208,2068728434.0772047,3105434148.4715757,3105434148.4715757,3105434148.4715757,128816366.04533067,145261407.7591384,239662009.15944254,0.0,236765541.39015785,519356671.4364753,5835143013.2860565,7029999544.275896,8530464009.697033
64,1831954656.9877334,2170714997.796327,2587692268.805372,763215951.7595572,1364091132.4082208,2068636812.6772046,3055487997.54208,3055487997.54208,3055487997.54208,128477607.12246147,144904025.75323915,239193614.37211993,0.0,234218893.3958664,513770475.836094,5779136213.411832,6969417046.895733,8464781169.23287
65,1826613295.0432115,2164038073.9488516,2579392485.3661227,763242617.7335181,1364074850.5334878,2066157696.670362,3004899518.378627,3004899518.378627,3004899518.378627,128374344.8792322,144780998.54807645,238806594.17450142,0.0,231507237.253105,507822326.87777877,5723129776.034589,6909300678.6621475,8397078621.467392
66,1820370781.3975053,2156258273.1139603,2569734981.4249296,764458610.6516333,1363793991.4575396,2066105021.4873486,2955618661.227274,2955618661.227274,2955618661.227274,127986356.85768276,144375552.69418764,238500103.5609901,0.0,229933411.48861635,504370063.9105133,5668434410.134096,6849979889.981578,8334328831.611055
67,1816444211.999465,2151240300.7062273,2563412214.4169154,765596554.2982938,1363791840.399821,2064999851.0451305,2917670703.615655,2917670703.615655,2917670703.615655,127378563.83135903,143677386.4401461,237444825.36948055,0.0,227139906.76421487,498242376.1279552,5627090033.744773,6803520137.9260645,8281769970.575136
68,1814059144.7394075,2147745632.0063295,2558611170.1487007,769132694.4769783,1363573087.7915773,2060192430.8327641,2880306742.60603,2880306742.60603,2880306742.60603,125359857.36283892,141431117.3721524,235067893.90643603,0.0,224910008.49942237,493350986.3858296,5588858439.185255,6757966588.275511,8227529223.87976
69,1813189109.8120413,2147012248.418132,2557997111.9584546,770164589.3388472,1363543724.5727139,2059631316.8611658,2843262724.397987,2843262724.397987,2843262724.397987,122631072.3999036,138476585.57525963,231887433.58490714,0.0,224535172.99070287,492528766.5602514,5549247495.948779,6716830455.954794,8185307353.362766
70,1810411875.664878,2143130440.6460342,2552827536.779462,771253626.7770827,1362696430.3422604,2057294372.3944688,2824248412.685283,2824248412.685283,2824248412.685283,122413709.06241146,138134528.7730846,231202025.73889065,0.0,221853257.7731238,486645855.7604006,5528327624.189654,6690063070.219787,8152218203.358506
71,1807411058.8948748,2139277052.454976,2547946414.585739,772543645.159388,1362407209.3691993,2053022561.9816473,2793756246.4814863,2793756246.4814863,2793756246.4814863,121504895.93466946,137042684.02693653,229810368.36360788,0.0,220046355.52187726,482682328.2415371,5495215846.470419,6652529547.854476,8107217919.654018
72,1805244566.8914683,2136424235.8145084,2544274834.5582438,773427798.425081,1362045367.6864705,2048442331.3242278,2762184736.268072,2762184736.268072,2762184736.268072,119757350.72347349,135141494.99976307,227655570.31001526,0.0,218734069.1045997,479803764.487509,5460614452.308095,6614529903.873414,8062361236.948068
73,1801970447.7024045,2132201476.3581245,2538925922.070199,774625044.1162977,1361784533.911745,2047372760.1370199,2738981965.265724,2738981965.265724,2738981965.265724,119425753.54462832,134643545.72599941,226956128.5782292,0.0,215811288.18579906,473392503.1172366,5435003210.629055,6583422809.447392,8025629279.168409
74,1799862006.467229,2129349414.2187898,2535201281.1503315,776169443.8570818,1361415360.2574055,2046875805.0302882,2711285080.147292,2711285080.147292,2711285080.147292,118335868.00361371,133471957.42647874,225586015.23175356,0.0,214838229.4003409,471258051.58784455,5405652398.475217,6550360041.450307,7990206233.147511
75,1795616415.4174213,2123982612.9104548,2528495686.8421555,777672853.0706844,1360745627.4696808,2042225467.4072735,2686607697.54161,2686607697.54161,2686607697.54161,116887649.17912942,131812596.52055767,223500918.36193448,0.0,213629600.62838924,468606865.89453125,5376784615.208845,6516778135.070692,7949436636.047504
76,1791833896.882903,2119100948.8829253,2522292101.1137123,779790363.157633,1359814490.948513,2038253893.9181128,2671099081.503828,2671099081.503828,2671099081.503828,116485276.15242699,131228321.24297047,222384435.48821652,0.0,211957591.351929,464939232.642941,5359208617.696791,6493200433.930165,7918968744.666811
77,1788826448.7754202,2115136070.6957994,2517176419.7458954,780884987.563846,1359661290.376597,2034822945.8816204,2651759762.702424,2651759762.702424,2651759762.702424,115020528.22822446,129637931.08551517,220307523.86726946,0.0,210843750.708676,462495969.2964506,5336491727.269916,6467038805.569012,7886562621.49366
