age,depth,sl,MOR_ridge,arc_subduction,rift,carb_platform,intraplate,gross_outflux,net_influx,net_out_incl_sed,net_out_excl_sed,sink_plate_sed,crust_sink
42.0,3891.0,90.78,15.787179043975769,5.0596966842164335,15.771452864742304,78.7522019834408,6.0,121.3705305763753,-57.01309798710759,-57.01309798710759,82.20020161246923,167.82199724780384,28.608697648226997
43.0,3810.5,97.258,15.638447343476884,4.890777946637126,15.771452864742304,78.43666790326301,6.0,120.73734605811931,-56.19966479288459,-56.19966479288459,81.81878075966972,166.42943199695256,28.41098644439827
44.0,3762.0,99.022,15.638447343476884,4.878807230043983,15.771452864742304,78.43666790326301,6.0,120.72537534152616,-53.09162161587243,-53.09162161587243,81.89652333627068,163.39913139654138,28.41098644439827
45.0,3651.8,96.616,15.787179043975769,4.683592733439421,15.698744222551673,78.43666790326301,6.0,120.60618390322988,-48.455149070738216,-48.455149070738216,81.66065304861867,158.52678856375516,28.41098644439827
46.0,3563.8,95.114,15.87184107878068,4.0419458346828,15.698744222551673,78.7522019834408,6.0,120.36473311945596,-44.84640005555615,-44.84640005555615,81.6966418136515,154.68342747251543,28.1403856033078
47.0,3535.0,108.032,16.261149178122373,2.865902974724748,15.698744222551673,80.05421257211498,6.0,120.88000894751376,-25.150464583867134,-25.150464583867134,82.32259809189429,134.95210102429985,27.479038348538403
48.0,3475.5,130.621,18.17867388499433,2.865902974724748,15.698744222551673,79.85652260376222,6.0,122.59984368603295,-13.627297335728828,-13.627297335728828,84.32627280260208,125.3172999121978,27.363729773866893
49.0,3389.2,139.96,18.963402537926488,3.2170774323151785,14.99694776314642,80.05421257211498,6.0,123.23164030550306,-0.1560726662028599,-0.1560726662028599,85.37616677533211,112.0377267575399,26.50548731600493
50.0,3342.2,141.196,19.13361638177972,3.4091806438140035,14.99694776314642,80.05421257211498,6.0,123.59395736085511,-0.524749922729157,-0.524749922729157,85.58387468081696,112.60487895468572,26.49625435113962
51.0,3333.0,135.144,19.46519857701177,3.35982842875723,14.99694776314642,80.05421257211498,6.0,123.8761873410304,-0.0677549377526247,-0.0677549377526247,85.8027267271181,112.36673601601032,26.49625435113962
