,crust,crust,crust,lithosphere,lithosphere,lithosphere,sediments,sediments,sediments,total,total,total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max
age,,,,,,,,,,,,
59,26.405390515870472,29.379668707174748,32.35539750775935,15.800750071779008,16.687107432044336,17.58058237752578,2.7722903422838736,3.3144651613181173,3.856639807064062,44.97843092993335,49.381241300537205,53.79261969234919
60,26.251430143480064,29.218742968979342,32.18941486143953,15.005183489650973,15.892009015748298,16.787298305008683,2.7288004600545324,3.2616932575878823,3.794585850799155,43.98541409318557,48.37244524231552,52.771299017247365
61,25.512239722315023,28.38936822733089,31.266512852217456,14.628556456974179,15.503066448403356,16.384873587320918,2.626207537609111,3.1392219871137916,3.6522362340212515,42.767003716898316,47.03165666284804,51.30362267355962
62,25.798104309672553,28.706299777891317,31.614495192064272,14.20300654651613,15.063620990466767,15.931694028410487,2.62700871815108,3.140080939213055,3.6531529929243667,42.62811957433976,46.91000170757114,51.19934221339913
63,24.78402555684128,27.591486114496128,30.39894663290446,12.5535179607434,13.318409075091209,14.091380242313683,2.512178454288393,3.00320378652025,3.4942289391100774,39.84972197187307,43.91309897610759,47.984555814328225
64,23.995193507424148,26.719272254271374,29.443350925012084,12.512066976762585,13.265947052780128,14.027171270349307,2.4954926171812812,2.982846627382952,3.4702004623286316,39.002753101368015,42.968065934434456,46.940722657690024
65,25.123268069353514,27.957918730902463,30.79256937340296,13.92778845694654,14.741719144501516,15.56278131532742,2.562427564313365,3.062754314838256,3.563080882159082,41.613484090613426,45.76239219024224,49.91843157088947
66,24.320077973511413,27.070721109767675,29.821364265247013,12.576752239419502,13.316951270636913,14.064436619329229,2.247792546280869,2.687309982762634,3.1268272786779,39.144622759211785,43.07498236316722,47.01262816325414
67,23.392203049665547,26.026720978905793,28.661238878853034,12.07374836580077,12.807898893164182,13.549585610349194,2.242452055947446,2.6808258517543564,3.119199495016723,37.70840347141376,41.515445723824335,45.33002398421895
68,25.793765452094103,28.69440220655846,31.5950389362118,12.367317857429168,13.07694856263835,13.793051163462405,2.6279640599949454,3.1416830491406182,3.655401832227988,40.789047369518215,44.91303381833743,49.04349193190219
69,25.2720494709544,28.116227929353656,30.960406330665748,12.015443035600304,12.713796931298145,13.420348691614887,2.5791433996119046,3.0831177241862058,3.5870918904029274,39.86663590616661,43.91314258483801,47.96784691268357
70,25.512178914611347,28.38943784049922,31.266696723488046,12.735945152108032,13.477276299058815,14.227058568223647,2.7389142246732385,3.2740590655778883,3.8092036881196814,40.987038291392615,45.14077320513592,49.302958979831374
71,24.63269296806883,27.41140122543684,30.190468892070477,12.592954648906213,13.333803991131548,14.082282723402477,2.679624235869996,3.203119080680098,3.726613749065054,39.90527185284504,43.94832429724848,47.99936536453801
72,23.436026100795203,26.08170847012704,28.72903787083199,10.99227131477701,11.66276225140321,12.342350089512188,2.315055666075679,2.767367123092682,3.219678420539295,36.743353081647896,40.51183784462293,44.29106638088348
73,22.588438790138166,25.139721097634535,27.69187511426131,10.97095226528737,11.630629651312603,12.297594984730445,2.335624130834449,2.7919051145060534,3.248185905614892,35.89501518625998,39.56225586345319,43.23765600460665
74,21.970217268795807,24.452547718909376,26.935630115463105,10.528415742565887,11.1604861073582,11.799320190572523,2.2661502781074345,2.708776516448725,3.151402587018711,34.76478328946912,38.3218103427163,41.88635289305434
