# Age_Myr	SL (m) # Miller et al (0-66.6 Ma), Haq hybrid 66.7 - 205 Ma
64.1	173.266749
64.2	171.291249
64.3	174.254363
64.4	174.871650
64.5	178.047349
64.6	177.980118
64.7	179.364886
64.8	178.861731
64.9	180.405742
65.0	180.996708
65.1	182.392826
65.2	181.822639
65.3	178.088467
65.4	176.369727
65.5	171.685155
65.6	170.724799
65.7	168.958084
65.8	168.398799
65.9	167.353219
66.0	171.162488
66.1	178.333048
66.2	182.358446
66.3	186.284415
66.4	179.864280
66.5	162.102833
66.6	149.132406
66.7	147.753436				
66.8	153.3897342				
66.9	166.2329646				
67	181.9516626				
67.1	191.679965				
67.2	197.9015548				
67.3	201.612733				
67.4	203.7912076				
67.5	204.1959921				
67.6	204.0977497				
67.7	203.3643637				
67.8	201.7981386				
67.9	199.4762404				
68	196.6941841				
68.1	193.030696				
68.2	189.2067821				
68.3	185.2280181				
68.4	181.1448536				
68.5	177.8276167				
68.6	175.9976671				
68.7	177.5614315				
68.8	185.4397184				
68.9	198.7433192				
69	206.7445798				
69.1	208.3376016				
69.2	201.2891377				
69.3	179.6218053				
69.4	179.1571458				
69.5	201.4244452				
69.6	210.380333				
69.7	212.789762				
69.8	212.8617061				
69.9	211.1015459				
70	204.9741758				
70.1	181.6965293				
70.2	172.8801139				
70.3	172.1100545				
70.4	174.2969214				
70.5	182.3150572				
70.6	198.8722175				
70.7	211.0307957				
70.8	216.5498372				
70.9	219.2004942				
71	219.3585949				
71.1	218.3016325				
71.2	214.4196148				
71.3	204.249351				
71.4	186.407527				
71.5	178.0284429				
71.6	175.5776654				
71.7	176.0825552				
71.8	180.8319669				
71.9	195.6209836				
72	210.3835317				
72.1	218.4318667				
72.2	221.7238531				
72.3	222.8544876				
72.4	222.6353792				
72.5	220.8232084				
72.6	216.0435933				
72.7	208.0052086				
72.8	193.6430641				
72.9	172.4385058				
73	153.610725				
73.1	146.5983881				
73.2	145.3230291				
73.3	148.7407919				
73.4	157.2827912				
73.5	170.6389127				
73.6	185.8081999				
73.7	199.570174				
73.8	211.3158356				
73.9	218.5502125				
74	223.1676989				
74.1	224.8500167				
74.2	224.7979214				
74.3	223.798862				
74.4	220.6689559				
74.5	215.7329876				
74.6	207.6509573				
74.7	197.4340008				
74.8	189.0010271				
74.9	185.1115232				
75	184.4577263				
75.1	186.2375704				
75.2	191.9030907				
75.3	201.5189383				
75.4	212.1686359				
75.5	222.0928848				
75.6	226.8785845				
75.7	228.0329733				
75.8	225.7485244				
75.9	215.4652742				
76	190.3971265				
76.1	177.3825128				
76.2	174.0524451				
76.3	173.7428756				
76.4	176.4590366				
76.5	189.4743842				
76.6	206.2766897				
76.7	216.4352846				
76.8	221.6960866				
76.9	225.2057262				
77	226.8912255				
77.1	227.5914044				
77.2	227.8999281				
77.3	227.7598804				
77.4	227.1516458				
77.5	225.6858				
77.6	223.2543978				
77.7	219.58056				
77.8	214.6938572				
77.9	205.5722796				
78	191.8528675				
78.1	186.4758355				
78.2	185.8654051				
78.3	187.9202652				
78.4	194.1680003				
78.5	204.6216611				
78.6	212.4359846				
78.7	217.3676881				
78.8	220.3581907				
78.9	221.5433619				
79	221.5255702				
79.1	220.2798786				
79.2	217.6017204				
79.3	210.6174962				
79.4	193.2351237				
79.5	159.6661904				
79.6	153.8579466				
79.7	154.3070755				
79.8	159.398382				
79.9	171.7886781				
80	191.4783684				
80.1	207.4311233				
80.2	218.7472078				
80.3	222.0497562				
80.4	219.4424238				
80.5	187.3449049				
80.6	171.169657				
80.7	170.8359082				
80.8	172.7198945				
80.9	178.4708207				
81	185.0424565				
81.1	193.8898309				
81.2	201.8194065				
81.3	208.4474702				
81.4	213.9683388				
81.5	217.6083115				
81.6	219.3562781				
81.7	218.9494468				
81.8	216.3866607				
81.9	209.375052				
82	199.7176223				
82.1	186.4901742				
82.2	177.4360576				
82.3	174.2175965				
82.4	175.3023036				
82.5	181.4973888				
82.6	193.0905064				
82.7	204.3908461				
82.8	210.9302093				
