# Age (kyr)	GMGSL (m)Miller et al. (2024)
1.343083	-33.1466
1.345733	-28.6356
1.348541	-13.5522
1.350829	-11.0548
1.352653	-8.0502
1.355167	-4.5489
1.357453	-18.1618
1.359654	-21.4528
1.362498	-29.7820
1.365593	-36.8534
1.367903	-45.4265
1.370493	-44.9435
1.375117	-39.9490
1.377592	-43.4899
1.379907	-38.4784
1.382130	-39.5021
1.384992	-26.9540
1.387824	-29.9948
1.391002	-21.9783
1.394359	-11.9554
1.397152	-11.4788
1.399908	-18.5390
1.402403	-27.6045
1.405261	-35.1633
1.408343	-44.2280
1.412124	-48.2726
1.415981	-47.2956
1.419195	-38.7859
1.422452	-28.7748
1.425530	-27.7964
1.428604	-9.2644
1.431682	-10.2965
1.435149	-7.8228
1.437943	4.1780
1.440408	-2.3619
1.442871	3.1235
1.445580	1.0914
1.448638	-21.4702
1.451061	-35.0045
1.454048	-50.5365
1.457399	-52.0538
1.460751	-45.0692
1.464341	-36.5914
1.467319	-21.6210
1.469702	-22.1392
1.472390	-22.1599
1.474854	-12.1961
1.477319	-8.7254
1.479784	-3.2618
1.482393	-4.7842
1.485752	-5.8143
1.489831	-32.2509
1.494716	-51.1893
1.500838	-44.7395
1.507375	-38.3024
1.511960	-21.9458
1.516104	-14.0406
1.520143	-21.5036
1.523955	-31.4281
1.530967	-40.1072
1.534624	-55.1785
1.538282	-50.2384
1.541571	-50.2365
1.545310	-25.5982
1.548827	-27.0917
1.552080	-40.6336
1.555122	-29.0844
1.558396	-26.1489
1.561671	-21.7455
1.564478	-25.1931
1.568090	-29.8633
1.570622	-34.5229
1.572431	-43.8258
1.576268	-42.6004
1.578966	-40.3999
1.580122	-37.9573
1.583245	-27.2204
1.584028	-29.6630
1.589512	-26.2656
1.591440	-29.1943
1.592175	-24.8135
1.595485	-23.8524
1.599195	-21.4363
1.600308	-22.4130
1.601792	-21.9334
1.602831	-20.9666
1.603713	-18.5433
1.605200	-25.8300
1.605795	-22.4355
1.607281	-22.9265
1.608758	-27.7804
1.610244	-26.8150
1.611136	-20.5189
1.612028	-32.6327
1.614694	-29.7317
1.617667	-24.1754
1.620630	-30.7100
1.623297	-29.9900
1.626394	-27.3417
1.628982	-46.6373
1.631199	-19.1609
1.632754	-44.7008
1.634724	-38.4374
1.637089	-51.4291
1.639454	-12.2260
1.644183	-47.5608
1.650539	-48.9835
1.659994	-42.2601
1.667461	-42.7317
1.669312	-43.6851
1.670237	-47.5026
1.670976	-45.1152
1.671475	-40.8202
1.672225	-38.4346
1.672975	-37.0039
1.674225	-26.0371
1.678724	-20.3353
1.689365	-18.4837
1.691831	-9.4707
1.692905	-23.7261
1.693620	-23.2541
1.694694	-28.4809
1.695499	-35.6036
1.697510	-37.9795
1.699264	-40.8278
1.702580	-36.5647
1.709028	-35.6302
1.719684	-17.2283
