Sea_level_m,CCD_p2.5,CCD_median,CCD_p97.5
49.28195477386934,4092.067832443755,4202.656649759187,4317.296438241949
50.0543417085427,4086.24437408572,4197.1482000822,4310.545891062146
50.82672864321607,4080.7024542995446,4191.298216529223,4304.8115321530495
51.599115577889435,4075.016370873288,4185.639815618544,4298.554625893768
52.3715025125628,4069.323421611019,4180.141358418805,4292.411163522349
53.14388944723618,4063.7120345180665,4174.49387836311,4286.062403935203
53.91627638190954,4057.934982920814,4168.625687327691,4280.011805888852
54.688663316582904,4052.2459773438886,4162.71970211649,4273.880860021437
55.46105025125627,4046.6501639506896,4156.879466329892,4267.850045359203
56.23343718592963,4040.984413653769,4151.002166744214,4261.906780503511
57.00582412060301,4035.5309784438514,4145.035458431494,4256.822154243492
57.77821105527637,4030.177509125364,4139.283372825298,4251.585609607211
58.550597989949736,4024.203146048072,4133.511410978341,4246.835617155287
59.3229849246231,4018.258140643964,4127.382643100609,4242.128545828432
60.09537185929648,4012.418836105222,4121.474626930186,4238.011356005908
60.86775879396984,4006.652637465716,4115.533592317109,4233.717431598758
61.640145728643205,4000.947879923705,4109.566423492492,4229.907154941404
62.41253266331657,3995.100656378967,4103.669795594776,4225.965945103006
63.18491959798993,3989.4586118144734,4097.634816344935,4221.537266591715
63.95730653266331,3983.6174124642184,4091.6499757408747,4217.07927321136
64.72969346733667,3977.7190373846224,4085.6525635444664,4213.722531972668
65.50208040201004,3972.076020642704,4079.5754098684283,4210.265180336557
66.2744673366834,3966.152909433281,4073.4752139622933,4206.906946554445
67.04685427135678,3960.3518982795945,4067.3244129357963,4203.1206516590355
67.81924120603014,3954.6190540709968,4061.394671215159,4199.306825286259
68.5916281407035,3948.624495915758,4055.208383739462,4195.525019432878
69.36401507537687,3942.988220033545,4048.9251923453085,4192.275001000291
70.13640201005023,3937.1320327747403,4042.6034970453934,4188.970345865191
70.90878894472361,3931.4160817306333,4036.3993821417025,4186.109633389384
71.68117587939697,3925.366033697751,4030.1995108109595,4182.999335950037
72.45356281407034,3919.435615465224,4024.002509045908,4179.56780867732
73.2259497487437,3913.6870908822743,4017.7625066715004,4176.584437720328
73.99833668341707,3907.7285090558617,4011.5205690794414,4173.30770912559
74.77072361809044,3901.7103662583095,4005.3313550660646,4169.950550789947
75.5431105527638,3895.6561798229523,3999.1923465043146,4166.954298874871
76.31549748743717,3889.6262953464925,3992.980924252396,4163.6398533368365
77.08788442211053,3883.7643250382503,3986.892416140405,4160.547051924226
77.86027135678391,3877.9257081890605,3980.5473709884054,4157.436181653626
78.63265829145728,3871.9638503105684,3974.2654209753514,4154.227998125399
79.40504522613064,3866.0711923444,3967.9712806407397,4151.158170782244
80.177432160804,3859.949483356465,3961.7661857578487,4148.20577783521
80.94981909547737,3853.9244154586713,3955.59674158447,4144.9295395967
81.72220603015074,3847.66706197991,3949.2600650644476,4141.821607992043
