,gross_atmospheric_outflux_with_unbiased_rifts,gross_atmospheric_outflux_with_unbiased_rifts,gross_atmospheric_outflux_with_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts
,min,mean,max,min,mean,max,min,mean,max
Age (Ma),,,,,,,,,
41,89.33142064680247,122.82450004617576,157.23517313036427,173.5919997651632,178.5181188500291,185.38994359915603,-94.11281728809256,-55.693618803853354,-14.411120970537922
42,89.23551151007719,121.3705305763753,153.73101506408216,173.45439417215138,178.3836285634829,185.17781860318692,-94.0773514447372,-57.013097987107585,-17.858423459696695
43,88.95284447128824,120.73734605811933,153.5606244721522,172.05151286927307,176.93701085100392,183.55442843630675,-92.86966436144652,-56.19966479288459,-16.75896879354889
44,88.9408737546951,120.72537534152617,153.7571974090937,168.99358800523223,173.8169969573986,180.32239681724934,-89.69953215486987,-53.09162161587243,-13.554399688454168
45,88.79422050078442,120.60618390322988,153.7680967958444,164.21558559790495,169.0613329739681,175.5244797143955,-85.11285984924682,-48.455149070738216,-8.830089437696273
46,94.40042461362282,120.36473311945595,153.5501928664502,160.4646780334783,165.2111331750121,171.72521515383102,-75.55716370292308,-44.846400055556146,-5.146858329742969
47,93.56863252463204,120.88000894751376,150.8440245413808,141.07325089027938,146.0304735313809,152.377617716491,-57.419063647850365,-25.150464583867134,11.160695195110009
48,95.53681919454527,122.59984368603295,153.35450363551763,130.74073542099075,136.22714102176178,142.57126373962078,-46.176727427987544,-13.627297335728827,23.471485331614844
49,95.61037146812417,123.23164030550306,159.67819208053348,118.83836864585533,123.38771297170592,130.42889058406166,-32.32668582943235,-0.15607266620285998,43.33165672118329
50,96.27225498172531,123.59395736085513,160.03250400455212,119.7126212751495,124.11870728358429,130.98980124968037,-32.25253831029376,-0.524749922729157,42.78489068706392
51,96.30201911373393,123.8761873410304,160.41055871953088,119.58662048954159,123.94394227878303,130.60261328440276,-31.999244954290532,-0.06775493775262476,43.125287446367594
52,95.80825998285809,124.34251279075114,160.83917356450021,115.09158852174176,119.63851675744662,126.42474564111387,-28.377185010293402,4.70399603330452,47.98688569072084
53,95.13160108576824,124.34251279075114,161.0130541089044,109.18494556420947,113.84980241856934,120.44023178728322,-23.38305818716097,10.492710372181804,53.75368105904896
54,94.91514823637569,124.41501143357546,155.68211057379764,109.1822449603471,114.48479766538185,120.95626717025395,-24.872202134040904,9.93021376819361,47.6687824132879
55,89.22337936255654,115.89361966100978,153.04413359394144,119.67433880022054,125.05761001735894,131.75985093454526,-41.2175018719408,-9.16399035634916,34.688764493768815
56,87.82681637829332,113.87004290965146,151.72862987225366,120.49367357461334,125.31649035483164,131.77659074820804,-42.31249075675663,-11.446447445180183,32.87223991079841
57,75.00449504030951,98.57415489095192,138.45286531345226,118.58145063862219,123.15276796352433,129.40900937287896,-52.71959024811696,-24.57861307257241,21.556338759282568
58,74.7755414715614,98.40741421120842,138.25775046693025,120.06791836273867,125.13980854444993,131.89758737753348,-55.436157254599806,-26.732394333241515,19.87572075556386
59,74.7755414715614,98.49836541768903,138.3022124196113,116.28087482396383,121.58040215164662,128.3921272580586,-52.10438800776802,-23.082036733957594,23.53353537437664
60,74.7193181517533,98.48686135646923,138.86434823065804,109.30037726140243,114.63541402365325,121.85380006169574,-45.25113263415078,-16.14855266718402,31.447320245047266
61,69.34676816313457,97.93892408893798,138.53607632191736,101.5577867337654,106.8062556223451,114.12312247115014,-42.707956347790244,-8.867331533407125,39.04668754837729
62,75.98836716821923,101.07153733155535,147.43552722098482,103.46941418354577,109.19678749798516,117.10459935890233,-38.93579364420532,-8.125250166429808,46.146551583916846
63,76.35658396795638,101.00800510475084,147.49474706161362,104.09195151040815,110.07867882609506,118.29815147546945,-39.70882217382558,-9.070673721344221,45.63554088489296
64,77.25176753904212,103.72902397420638,147.1520096423956,99.50627415469211,105.594149571758,113.59108342822853,-34.43025744978176,-1.8651255975516108,49.554793927108136
65,77.61090321962509,104.08715320184567,147.77415723922334,97.79803623838625,103.80779727631274,111.77193276564896,-32.20665509461415,0.27935592553292565,51.93049545224682
66,78.71734935294428,104.71817905010964,152.29812137504342,88.71658795934438,94.6284630692414,102.59646416529745,-21.82298882619415,10.089715980868235,65.63765940185806
67,77.90894025061874,103.8368146128687,151.34410090941336,86.66024470023837,92.58685072534766,100.41903684796792,-20.604516499838212,11.249963887521034,66.58943630668595
68,76.18017296190169,102.62154021162281,150.7485232992448,85.44233588130145,91.255123666848,99.06540970433407,-20.88773849049285,11.366416544774822,67.30368566988288
69,75.69659947368136,102.68089047600387,144.60612639836353,79.31819368967307,85.06262412195719,92.81624764078664,-15.110455080559944,17.618266354046682,67.2971257952358
70,72.09323533255223,100.12313282871622,144.1521887993126,75.34928139517083,81.11771529813606,88.97959341142342,-14.792913868549064,19.00541753058016,70.8963516144639
71,72.13978147050872,98.82286141241575,140.0420920254135,75.17334692150946,80.94290371608407,88.81194355032233,-14.572679040149964,17.879957696331672,66.96822814356767
72,68.19235697280558,91.53368952637905,123.45358201811383,74.79120441863878,80.59391397992547,88.38555515494284,-18.20426656840658,10.939775546453575,50.65130921320572
73,66.12906980066619,89.44252246714322,121.76806709842191,74.26792176204202,79.9100095505197,87.67523510952373,-19.423027538331198,9.532512916623517,49.62328310690623
74,63.42855600388219,86.13478639199062,117.22000802846539,74.36475458717231,80.23872633385052,88.23165022732718,-22.684142076646538,5.896060058140094,44.97420558809152
75,62.6478134160901,84.86759965910822,115.81619799662676,73.77385214918762,79.76102404237888,87.81147827023018,-23.100382519480036,5.106575616729344,44.10562818209918
76,62.70164048335168,84.46864167645762,116.00592761335123,74.30881454271135,80.45228770001412,88.69844430136447,-23.894120373965222,4.016353976443497,43.79979651468746
